,Unnamed: 0,Unnamed: 0.1,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,casesPerMil,deathsPerMil,totalTests,testsPerMil,population,alpha2,latitude,longitude
99,99,109,Mauritania,6273.0,0.0,156.0,0.0,4776.0,1341.0,3.0,1347.0,33.0,57253.0,12291.0,4658047.0,MW,20.2540382,-9.2399263
100,100,110,Zambia,5249.0,0.0,146.0,0.0,3285.0,1818.0,18.0,285.0,8.0,79269.0,4304.0,18418831.0,NI,-14.5186239,27.5599164
101,101,111,Albania,5105.0,0.0,150.0,0.0,2830.0,2125.0,17.0,1774.0,52.0,34477.0,11981.0,2877539.0,MV,41.000028,19.9999619
102,102,112,Djibouti,5081.0,0.0,58.0,0.0,4999.0,24.0,0.0,5137.0,59.0,56721.0,57348.0,989072.0,TH,11.8145966,42.8453061
103,103,113,Somalia,3212.0,16.0,93.0,0.0,1562.0,1557.0,2.0,202.0,6.0,0.0,0.0,15920851.0,CG,8.3676771,49.083416
104,104,114,Paraguay,4866.0,0.0,46.0,0.0,3169.0,1651.0,8.0,682.0,6.0,122829.0,17205.0,7139176.0,SO,-23.3165935,-58.1693445
105,105,115,CAR,4605.0,0.0,59.0,0.0,1574.0,2972.0,2.0,952.0,12.0,29431.0,6086.0,4835915.0,GQ,,
106,106,116,Hungary,4484.0,19.0,596.0,0.0,3346.0,542.0,6.0,464.0,62.0,336461.0,34836.0,9658318.0,YT,47.1817585,19.5060937
107,107,117,Greece,4336.0,0.0,203.0,0.0,1374.0,2759.0,8.0,416.0,19.0,511429.0,49087.0,10418780.0,ME,38.9953683,21.9877132
108,108,119,Lebanon,4205.0,0.0,55.0,0.0,1753.0,2397.0,29.0,616.0,8.0,286340.0,41968.0,6822885.0,LK,33.8750629,35.843409
109,109,120,Malawi,3738.0,0.0,103.0,0.0,1728.0,1907.0,4.0,195.0,5.0,27804.0,1451.0,19163998.0,HK,-13.2687204,33.9301963
110,110,121,Nicaragua,3672.0,0.0,116.0,0.0,2492.0,1064.0,0.0,554.0,17.0,0.0,0.0,6630540.0,ZW,12.6090157,-85.2936911
111,111,122,Maldives,3567.0,0.0,15.0,0.0,2554.0,998.0,12.0,6590.0,28.0,76937.0,142150.0,541240.0,CU,4.7064352,73.3287853
